title_per_data,csv_per_data
RealisasiBelanja2012_1 DKI Jakarta,http://ppid.jakarta.go.id/json?url=http://data.jakarta.go.id/dataset/ae4ee5f4-7369-4d77-a9f8-ccfd157519e2/resource/f6c36e90-4c42-4017-b37c-36ba947601fd/download/RealisasiBelanja20121.csv
RealisasiBelanja2012_2 DKI Jakarta,http://ppid.jakarta.go.id/json?url=http://data.jakarta.go.id/dataset/ae4ee5f4-7369-4d77-a9f8-ccfd157519e2/resource/b448321e-7264-456c-937a-db6f4dadecd0/download/RealisasiBelanja20122.csv
