title,url
Data Kegiatan Kepemudaan di Provinsi DKI Jakarta,/dataset/data-kegiatan-kepemudaan
Data Kunjungan Kerja Daerah ke Dewan Perwakilan Rakyat Daerah Provinsi DKI Ja...,/dataset/data-kunjungan-kerja-daerah-ke-dprd-dki-penerimaan-tamu-daerah
Data Audiensi Masyarakat di Dewan Perwakilan Rakyat Daerah Provinsi DKI Jakarta,/dataset/data-audiensi-masyarakat-tahun-2017
Data Rapat Paripurna Dewan Perwakilan Rakyat Daerah Provinsi DKI Jakarta,/dataset/data-rapat-paripurna-dprd-provinsi-dkijakarta
Data Tim Ahli/Kelompok Pakar dan Tenaga Ahli Dewan Perwakilan Rakyat Daerah P...,/dataset/data-tim-ahli-kelompok-pakar-dan-tenaga-ahli-dprd-provinsi-dki-jakarta-tahun-2017
Data Jumlah Penduduk Berdasarkan Tingkat Pendidikan dan Jenis Kelamin PerKelu...,/dataset/data-jumlah-penduduk-berdasarkan-tingkat-pendidikan-perkelurahan
Data Jumlah Penerbitan Akta Kelahiran Penduduk Provinsi DKI Jakarta Tahun 2019,/dataset/data-penerbitan-akta-kelahiran-penduduk-per-triwulan-tahun-2019
Data Jumlah Penerbitan Akta Perkawinan Penduduk Non Muslim di Provinsi DKI Ja...,/dataset/jumlah-penerbitan-akta-perkawinan-penduduk-non-muslim-tahun-2018
Data Jumlah Penerbitan Akta Kematian Penduduk Provinsi DKI Jakarta Tahun 2019,/dataset/data-penerbitan-akta-kematian-penduduk-per-triwulan-tahun-2019
Data Jumlah Penduduk Penyandang Disabilitas Berdasarkan Jenis Kelamin Per Kel...,/dataset/data-jumlah-penduduk-penyandang-disabilitas-berdasarkan-jenis-kelamin-per-kelurahan
Data Penumpang Kapal dari dan ke Kepulauan Seribu Tahun 2017,/dataset/data-penumpang-kapal-dari-dan-ke-kepulauan-seribu-kpi
Data Jumlah Prestasi Olahraga yang Diperoleh Para Atlet Provinsi DKI Jakarta,/dataset/data-rekapitulasi-prestasi-olahraga-yang-diraih
Data Kelahiran Bayi Berdasarkan Penolong Kelahiran Per Kelurahan di Wilayah P...,/dataset/data-kelahiran-bayi-berdasarkan-penolong-kelahiran-perkelurahan-tahun-2017
Data Jumlah Penerbitan Akta Perceraian Penduduk Non Muslim di Provinsi DKI Ja...,/dataset/data-penerbitan-akta-perceraian-penduduk-non-muslim-per-triwulan-tahun-2019
Data Jumlah Penerbitan Akta Perkawinan Penduduk Non Muslim di Provinsi DKI Ja...,/dataset/data-penerbitan-akta-perkawinan-penduduk-non-muslim-per-triwulan-tahun-2019
Data Realisasi Anggaran Pendapatan dan Belanja Daerah Provinsi DKI Jakarta,/dataset/data-realisasi-anggaran-pendapatan-dan-belanja-daerah
Data Acara dan Jumlah Pengunjung Wisata Balai Kota Provinsi DKI Jakarta,/dataset/data-acara-wisata-dan-pengunjung-balai-kota
Data Kunjungan Kerja Tahun 2019,/dataset/data-kunjungan-kerja-tahun-2019
Data Peraturan Gubernur Provinsi DKI Jakarta Tahun 2018,/dataset/data-peraturan-gubernur-tahun-2018
Data Jumlah Digitalisasi Arsip Izin Mendirikan Bangunan Tahun 2018,/dataset/data-digitalisasi-arsip-imb-tahun-2018
